Date,Open,High,Low,Close,Adj Close,Volume
2020-10-07,6.900000,7.360000,6.850000,7.290000,7.290000,10421561
2020-10-08,7.550000,8.000000,7.500000,7.930000,7.930000,14645517
2020-10-09,7.990000,8.050000,7.400000,7.560000,7.560000,20255479
2020-10-12,7.610000,8.080000,7.600000,7.990000,7.990000,10917563
2020-10-13,8.230000,8.350000,7.760000,7.900000,7.900000,14103186
2020-10-14,7.780000,8.030000,7.250000,7.580000,7.580000,27241123
2020-10-15,7.500000,7.500000,7.010000,7.010000,7.010000,17094339
2020-10-16,7.000000,7.210000,6.860000,7.020000,7.020000,11760132
2020-10-19,7.070000,7.230000,7.050000,7.170000,7.170000,6341146
2020-10-20,7.500000,7.570000,7.070000,7.070000,7.070000,15818345
2020-10-21,7.120000,7.210000,7.060000,7.080000,7.080000,9579982
2020-10-22,6.800000,6.890000,6.700000,6.720000,6.720000,72813067
2020-10-23,6.800000,6.820000,6.630000,6.740000,6.740000,10121457
2020-10-26,6.830000,6.845000,6.320000,6.360000,6.360000,14957335
2020-10-27,6.120000,6.130000,5.960000,6.020000,6.020000,17600612
2020-10-28,6.090000,6.180000,5.950000,5.990000,5.990000,12016729
2020-10-29,5.800000,6.040000,5.680000,5.980000,5.980000,15650916
2020-10-30,6.070000,6.070000,5.690000,5.720000,5.720000,16288911
2020-11-02,5.720000,5.840000,5.610000,5.650000,5.650000,7243006
2020-11-03,5.740000,5.930000,5.730000,5.850000,5.850000,7381271
2020-11-04,5.990000,6.100000,5.760000,5.980000,5.980000,12136656
2020-11-05,6.080000,6.255000,5.970000,6.240000,6.240000,10205695
2020-11-06,6.340000,6.410000,6.070000,6.090000,6.090000,11211785
2020-11-09,6.200000,6.520000,6.170000,6.520000,6.520000,8969406
2020-11-10,6.400000,6.410000,5.910000,5.920000,5.920000,18680085
2020-11-11,5.870000,6.070000,5.830000,6.020000,6.020000,12363063
2020-11-12,6.130000,6.140000,5.910000,5.970000,5.970000,9449482
2020-11-13,5.950000,6.090000,5.920000,6.050000,6.050000,5880511
2020-11-16,6.080000,6.090000,5.970000,6.000000,6.000000,796687
2020-11-17,6.020000,6.030000,5.880000,5.960000,5.960000,10632063
2020-11-18,5.950000,6.050000,5.860000,5.890000,5.890000,6758931
2020-11-19,5.880000,6.080000,5.820000,6.070000,6.070000,7781332
2020-11-20,6.080000,6.320000,6.040000,6.180000,6.180000,7744458
2020-11-23,6.340000,6.520000,6.140000,6.200000,6.200000,10279828
2020-11-24,6.240000,6.340000,6.220000,6.260000,6.260000,9244447
2020-11-25,6.280000,6.310000,5.860000,5.860000,5.860000,12351250
2020-11-26,5.900000,6.140000,5.890000,6.070000,6.070000,6578897
2020-11-27,6.060000,6.100000,5.900000,6.060000,6.060000,5886716
2020-11-30,6.140000,6.260000,5.990000,6.060000,6.060000,17837417
2020-12-01,6.050000,6.070000,5.900000,6.030000,6.030000,9431169
2020-12-02,6.170000,6.210000,5.930000,5.950000,5.950000,11902509
2020-12-03,5.960000,5.990000,5.770000,5.770000,5.770000,9788583
2020-12-04,5.760000,5.770000,5.540000,5.590000,5.590000,13219638
2020-12-07,5.680000,5.710000,5.460000,5.530000,5.530000,9128421
2020-12-08,5.490000,5.520000,5.250000,5.290000,5.290000,11273833
2020-12-09,5.300000,5.430000,5.250000,5.300000,5.300000,8788561
2020-12-10,5.290000,5.320000,5.110000,5.150000,5.150000,7934185
2020-12-11,5.210000,5.380000,5.190000,5.250000,5.250000,9941122
2020-12-14,5.320000,5.360000,5.170000,5.270000,5.270000,6134729
2020-12-15,5.380000,5.410000,5.220000,5.220000,5.220000,6711690
2020-12-16,5.320000,5.630000,5.260000,5.570000,5.570000,9683300
2020-12-17,5.620000,5.900000,5.530000,5.630000,5.630000,16631541
2020-12-18,5.610000,5.620000,5.330000,5.440000,5.440000,11756764
2020-12-21,5.370000,5.380000,5.160000,5.170000,5.170000,9434217
2020-12-22,5.160000,5.200000,4.960000,5.110000,5.110000,14500503
2020-12-23,5.170000,5.260000,5.070000,5.130000,5.130000,9854591
2020-12-24,5.180000,5.300000,5.150000,5.250000,5.250000,6112955
